,race_id,gp_year,gp_name,gp_round,driver_id,driver_name,rookie_or_experienced,lap_number,lap_time,lap_time_ms,median_lap_time_ms,max_lap_time_ms
53,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,59,1:30.617,90617,92263.0,96876.15000000001
54,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,60,1:30.773,90773,92263.0,96876.15000000001
55,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,61,1:31.034,91034,92263.0,96876.15000000001
56,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,62,1:31.818,91818,92263.0,96876.15000000001
57,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,63,1:32.027,92027,92263.0,96876.15000000001
58,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,64,1:32.050,92050,92263.0,96876.15000000001
59,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,65,1:31.110,91110,92263.0,96876.15000000001
60,930,2015,Spanish Grand Prix,5,13,Felipe Massa,experienced,66,1:31.920,91920,92263.0,96876.15000000001
61,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,2,1:33.075,93075,92130.0,96736.5
62,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,3,1:32.708,92708,92130.0,96736.5
63,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,4,1:32.857,92857,92130.0,96736.5
64,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,5,1:32.913,92913,92130.0,96736.5
65,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,6,1:32.989,92989,92130.0,96736.5
66,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,7,1:32.758,92758,92130.0,96736.5
67,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,8,1:32.794,92794,92130.0,96736.5
68,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,9,1:32.770,92770,92130.0,96736.5
69,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,10,1:32.871,92871,92130.0,96736.5
70,930,2015,Spanish Grand Prix,5,822,Valtteri Bottas,experienced,11,1:32.877,92877,92130.0,96736.5
