,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
58,958,2016,Hungarian Grand Prix,11,Esteban Gutiérrez,Haas F1 Team,haas,False,15,13,2
59,958,2016,Hungarian Grand Prix,11,Nico Hülkenberg,Force India,force_india,False,9,10,-1
60,1003,2018,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,False,10,10,0
61,931,2015,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,False,11,11,0
62,1000,2018,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,13,12,1
63,1021,2019,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,11,12,-1
64,1015,2019,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,False,11,13,-2
65,979,2017,Hungarian Grand Prix,11,Nico Hülkenberg,Renault,renault,False,12,17,-5
66,953,2016,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,False,5,6,-1
67,994,2018,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,False,11,8,3
68,1024,2019,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,False,8,9,-1
69,974,2017,Monaco Grand Prix,6,Jolyon Palmer,Renault,renault,False,16,11,5
70,958,2016,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,False,17,12,5
71,979,2017,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,False,10,12,-2
72,962,2016,Singapore Grand Prix,15,Jolyon Palmer,Renault,renault,False,18,15,3
73,982,2017,Singapore Grand Prix,14,Jolyon Palmer,Renault,renault,False,11,6,5
74,982,2017,Singapore Grand Prix,14,Esteban Ocon,Force India,force_india,False,14,10,4
75,974,2017,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,False,15,12,3
76,1000,2018,Hungarian Grand Prix,12,Esteban Ocon,Force India,force_india,False,18,13,5
77,994,2018,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,False,6,6,0
78,979,2017,Hungarian Grand Prix,11,Esteban Ocon,Force India,force_india,False,11,9,2
79,994,2018,Monaco Grand Prix,6,Sergey Sirotkin,Williams,williams,True,13,16,-3
80,1000,2018,Hungarian Grand Prix,12,Sergey Sirotkin,Williams,williams,True,20,16,4
81,1003,2018,Singapore Grand Prix,15,Sergey Sirotkin,Williams,williams,True,19,19,0
82,994,2018,Monaco Grand Prix,6,Carlos Sainz,Renault,renault,False,8,10,-2
83,1003,2018,Singapore Grand Prix,15,Carlos Sainz,Renault,renault,False,12,8,4
84,1000,2018,Hungarian Grand Prix,12,Carlos Sainz,Renault,renault,False,5,9,-4
85,953,2016,Monaco Grand Prix,6,Valtteri Bottas,Williams,williams,True,10,12,-2
86,936,2015,Hungarian Grand Prix,10,Valtteri Bottas,Williams,williams,True,6,13,-7
87,931,2015,Monaco Grand Prix,6,Valtteri Bottas,Williams,williams,True,16,14,2
88,939,2015,Singapore Grand Prix,13,Valtteri Bottas,Williams,williams,True,7,5,2
89,958,2016,Hungarian Grand Prix,11,Valtteri Bottas,Williams,williams,True,10,9,1
