,race_id,gp_year,gp_name,gp_round,driver_id,driver_name,rookie_or_experienced,lap_number,lap_time,lap_time_ms,median_lap_time_ms,max_lap_time_ms
50,926,2015,Australian Grand Prix,1,13,Felipe Massa,experienced,56,1:31.753,91753,92883.5,97527.675
51,926,2015,Australian Grand Prix,1,13,Felipe Massa,experienced,57,1:32.000,92000,92883.5,97527.675
52,926,2015,Australian Grand Prix,1,13,Felipe Massa,experienced,58,1:32.358,92358,92883.5,97527.675
53,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,2,1:48.147,108147,107212.5,112573.125
54,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,3,1:48.158,108158,107212.5,112573.125
55,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,7,1:48.566,108566,107212.5,112573.125
56,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,8,1:47.380,107380,107212.5,112573.125
57,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,9,1:48.251,108251,107212.5,112573.125
58,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,10,1:48.478,108478,107212.5,112573.125
59,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,11,1:48.623,108623,107212.5,112573.125
60,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,12,1:49.279,109279,107212.5,112573.125
61,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,13,1:49.255,109255,107212.5,112573.125
62,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,14,1:49.009,109009,107212.5,112573.125
63,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,15,1:48.930,108930,107212.5,112573.125
64,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,16,1:47.340,107340,107212.5,112573.125
65,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,17,1:47.085,107085,107212.5,112573.125
66,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,18,1:47.653,107653,107212.5,112573.125
67,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,19,1:47.695,107695,107212.5,112573.125
68,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,20,1:47.670,107670,107212.5,112573.125
69,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,21,1:48.114,108114,107212.5,112573.125
70,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,22,1:47.898,107898,107212.5,112573.125
71,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,23,1:48.078,108078,107212.5,112573.125
72,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,26,1:45.944,105944,107212.5,112573.125
73,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,27,1:46.305,106305,107212.5,112573.125
74,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,28,1:46.678,106678,107212.5,112573.125
75,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,29,1:45.730,105730,107212.5,112573.125
76,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,30,1:46.040,106040,107212.5,112573.125
77,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,31,1:45.591,105591,107212.5,112573.125
78,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,32,1:45.802,105802,107212.5,112573.125
79,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,33,1:45.827,105827,107212.5,112573.125
80,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,34,1:46.051,106051,107212.5,112573.125
81,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,35,1:45.612,105612,107212.5,112573.125
82,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,36,1:45.476,105476,107212.5,112573.125
83,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,37,1:45.640,105640,107212.5,112573.125
84,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,38,1:48.948,108948,107212.5,112573.125
85,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,40,1:43.990,103990,107212.5,112573.125
86,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,41,1:44.462,104462,107212.5,112573.125
87,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,42,1:44.496,104496,107212.5,112573.125
88,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,43,1:44.522,104522,107212.5,112573.125
89,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,44,1:44.516,104516,107212.5,112573.125
90,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,45,1:44.563,104563,107212.5,112573.125
91,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,46,1:44.471,104471,107212.5,112573.125
92,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,47,1:44.956,104956,107212.5,112573.125
93,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,48,1:44.935,104935,107212.5,112573.125
94,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,49,1:44.780,104780,107212.5,112573.125
95,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,50,1:44.645,104645,107212.5,112573.125
96,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,51,1:45.295,105295,107212.5,112573.125
97,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,52,1:45.450,105450,107212.5,112573.125
98,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,53,1:45.581,105581,107212.5,112573.125
99,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,54,1:46.018,106018,107212.5,112573.125
100,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,55,1:48.594,108594,107212.5,112573.125
101,927,2015,Malaysian Grand Prix,2,13,Felipe Massa,experienced,56,1:47.734,107734,107212.5,112573.125
102,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,2,1:50.281,110281,107005.5,112355.77500000001
103,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,3,1:47.384,107384,107005.5,112355.77500000001
104,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,7,1:48.190,108190,107005.5,112355.77500000001
105,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,8,1:49.950,109950,107005.5,112355.77500000001
106,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,9,1:47.066,107066,107005.5,112355.77500000001
107,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,10,1:46.679,106679,107005.5,112355.77500000001
108,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,11,1:48.019,108019,107005.5,112355.77500000001
109,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,12,1:49.285,109285,107005.5,112355.77500000001
110,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,13,1:49.083,109083,107005.5,112355.77500000001
111,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,14,1:49.598,109598,107005.5,112355.77500000001
112,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,15,1:48.639,108639,107005.5,112355.77500000001
113,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,16,1:47.903,107903,107005.5,112355.77500000001
114,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,17,1:47.319,107319,107005.5,112355.77500000001
115,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,18,1:47.791,107791,107005.5,112355.77500000001
116,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,19,1:48.042,108042,107005.5,112355.77500000001
117,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,20,1:47.976,107976,107005.5,112355.77500000001
118,927,2015,Malaysian Grand Prix,2,822,Valtteri Bottas,experienced,21,1:47.792,107792,107005.5,112355.77500000001
