,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
57,1000,2018,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,13,12,1
58,1021,2019,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,11,12,-1
59,1015,2019,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,False,11,13,-2
60,979,2017,Hungarian Grand Prix,11,Nico Hülkenberg,Renault,renault,False,12,17,-5
61,994,2018,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,False,11,8,3
62,1024,2019,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,False,8,9,-1
63,974,2017,Monaco Grand Prix,6,Jolyon Palmer,Renault,renault,False,16,11,5
64,958,2016,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,False,17,12,5
65,979,2017,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,False,10,12,-2
66,962,2016,Singapore Grand Prix,15,Jolyon Palmer,Renault,renault,False,18,15,3
67,982,2017,Singapore Grand Prix,14,Jolyon Palmer,Renault,renault,False,11,6,5
68,994,2018,Monaco Grand Prix,6,Carlos Sainz,Renault,renault,False,8,10,-2
69,1003,2018,Singapore Grand Prix,15,Carlos Sainz,Renault,renault,False,12,8,4
70,1000,2018,Hungarian Grand Prix,12,Carlos Sainz,Renault,renault,False,5,9,-4
71,958,2016,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,False,13,11,2
72,994,2018,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,9,12,-3
73,974,2017,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,13,-6
74,1000,2018,Hungarian Grand Prix,12,Sergio Pérez,Force India,force_india,False,19,14,5
75,1003,2018,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,False,7,16,-9
76,953,2016,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,3,4
77,982,2017,Singapore Grand Prix,14,Sergio Pérez,Force India,force_india,False,12,5,7
78,931,2015,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,7,0
79,939,2015,Singapore Grand Prix,13,Sergio Pérez,Force India,force_india,False,13,7,6
80,962,2016,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,False,17,8,9
81,979,2017,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,False,13,8,5
82,958,2016,Hungarian Grand Prix,11,Nico Hülkenberg,Force India,force_india,False,9,10,-1
83,931,2015,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,False,11,11,0
84,953,2016,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,False,5,6,-1
85,982,2017,Singapore Grand Prix,14,Esteban Ocon,Force India,force_india,False,14,10,4
86,974,2017,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,False,15,12,3
87,1000,2018,Hungarian Grand Prix,12,Esteban Ocon,Force India,force_india,False,18,13,5
88,994,2018,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,False,6,6,0
89,979,2017,Hungarian Grand Prix,11,Esteban Ocon,Force India,force_india,False,11,9,2
