Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
2960,2018,Japanese Grand Prix,STR,18,Williams,0 days 00:01:30.714000,0 days 00:00:32.003000,0 days 00:00:40.755000,0 days 00:00:17.956000,True,False,True
2974,2018,Japanese Grand Prix,SIR,35,Williams,0 days 00:01:31.350000,0 days 00:00:32.552000,0 days 00:00:40.956000,0 days 00:00:17.842000,True,False,True
2979,2018,Japanese Grand Prix,SIR,35,Williams,0 days 00:01:30.372000,0 days 00:00:31.963000,0 days 00:00:40.702000,0 days 00:00:17.707000,True,False,True
3257,2019,Italian Grand Prix,RUS,63,Williams,0 days 00:01:22.217000,0 days 00:00:27.440000,0 days 00:00:27.399000,0 days 00:00:27.378000,True,False,True
3259,2019,Italian Grand Prix,RUS,63,Williams,0 days 00:01:21.800000,0 days 00:00:27.350000,0 days 00:00:27.198000,0 days 00:00:27.252000,True,False,True
3265,2019,Italian Grand Prix,KUB,88,Williams,0 days 00:01:23.966000,0 days 00:00:28.013000,0 days 00:00:28.065000,0 days 00:00:27.888000,True,False,True
3267,2019,Italian Grand Prix,KUB,88,Williams,0 days 00:01:22.922000,0 days 00:00:27.514000,0 days 00:00:27.590000,0 days 00:00:27.818000,True,False,True
3271,2019,Italian Grand Prix,KUB,88,Williams,0 days 00:01:22.356000,0 days 00:00:27.366000,0 days 00:00:27.421000,0 days 00:00:27.569000,True,False,True
3678,2019,Monaco Grand Prix,RUS,63,Williams,0 days 00:01:16.640000,0 days 00:00:20.424000,0 days 00:00:35.799000,0 days 00:00:20.417000,True,False,True
3680,2019,Monaco Grand Prix,RUS,63,Williams,0 days 00:01:14.848000,0 days 00:00:19.699000,0 days 00:00:35.139000,0 days 00:00:20.010000,True,False,True
3684,2019,Monaco Grand Prix,RUS,63,Williams,0 days 00:01:13.664000,0 days 00:00:19.341000,0 days 00:00:34.622000,0 days 00:00:19.701000,True,False,True
3688,2019,Monaco Grand Prix,RUS,63,Williams,0 days 00:01:13.477000,0 days 00:00:19.257000,0 days 00:00:34.635000,0 days 00:00:19.585000,True,False,True
3691,2019,Monaco Grand Prix,KUB,88,Williams,0 days 00:01:26.709000,0 days 00:00:20.703000,0 days 00:00:43.902000,0 days 00:00:22.104000,True,False,True
3692,2019,Monaco Grand Prix,KUB,88,Williams,0 days 00:01:15.295000,0 days 00:00:19.980000,0 days 00:00:35.209000,0 days 00:00:20.106000,True,False,True
3694,2019,Monaco Grand Prix,KUB,88,Williams,0 days 00:01:14.736000,0 days 00:00:19.730000,0 days 00:00:34.955000,0 days 00:00:20.051000,True,False,True
3697,2019,Monaco Grand Prix,KUB,88,Williams,0 days 00:01:14.035000,0 days 00:00:19.476000,0 days 00:00:34.718000,0 days 00:00:19.841000,True,False,True
3699,2019,Monaco Grand Prix,KUB,88,Williams,0 days 00:01:13.751000,0 days 00:00:19.267000,0 days 00:00:34.548000,0 days 00:00:19.936000,True,False,True
