race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
940,2015,Japanese Grand Prix,14,Sergio Pérez,Force India,force_india,false,9,12,-3
944,2015,Brazilian Grand Prix,18,Sergio Pérez,Force India,force_india,false,11,12,-1
994,2018,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,false,9,12,-3
1015,2019,Monaco Grand Prix,6,Sergio Pérez,Racing Point,racing_point,false,16,12,4
930,2015,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,false,18,13,5
974,2017,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,false,7,13,-6
1000,2018,Hungarian Grand Prix,12,Sergio Pérez,Force India,force_india,false,19,14,5
1014,2019,Spanish Grand Prix,5,Sergio Pérez,Racing Point,racing_point,false,15,15,0
1003,2018,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,false,7,16,-9
956,2016,Austrian Grand Prix,9,Sergio Pérez,Force India,force_india,false,16,17,-1
980,2017,Belgian Grand Prix,12,Sergio Pérez,Force India,force_india,false,8,17,-9
1019,2019,British Grand Prix,10,Sergio Pérez,Racing Point,racing_point,false,15,17,-2
953,2016,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,false,7,3,4
967,2016,Brazilian Grand Prix,20,Sergio Pérez,Force India,force_india,false,9,4,5
973,2017,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,false,8,4,4
937,2015,Belgian Grand Prix,11,Sergio Pérez,Force India,force_india,false,4,5,-1
960,2016,Belgian Grand Prix,13,Sergio Pérez,Force India,force_india,false,6,5,1
982,2017,Singapore Grand Prix,14,Sergio Pérez,Force India,force_india,false,12,5,7
1001,2018,Belgian Grand Prix,13,Sergio Pérez,Force India,force_india,false,4,5,-1
938,2015,Italian Grand Prix,12,Sergio Pérez,Force India,force_india,false,7,6,1
957,2016,British Grand Prix,10,Sergio Pérez,Force India,force_india,false,10,6,4
1022,2019,Belgian Grand Prix,13,Sergio Pérez,Racing Point,racing_point,false,7,6,1
931,2015,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,false,7,7,0
939,2015,Singapore Grand Prix,13,Sergio Pérez,Force India,force_india,false,13,7,6
952,2016,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,false,9,7,2
964,2016,Japanese Grand Prix,17,Sergio Pérez,Force India,force_india,false,5,7,-2
977,2017,Austrian Grand Prix,9,Sergio Pérez,Force India,force_india,false,7,7,0
984,2017,Japanese Grand Prix,16,Sergio Pérez,Force India,force_india,false,7,7,0
997,2018,Austrian Grand Prix,9,Sergio Pérez,Force India,force_india,false,16,7,9
1002,2018,Italian Grand Prix,14,Sergio Pérez,Force India,force_india,false,14,7,7
1005,2018,Japanese Grand Prix,17,Sergio Pérez,Force India,force_india,false,9,7,2
1023,2019,Italian Grand Prix,14,Sergio Pérez,Racing Point,racing_point,false,18,7,11
961,2016,Italian Grand Prix,14,Sergio Pérez,Force India,force_india,false,8,8,0
962,2016,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,false,17,8,9
979,2017,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,false,13,8,5
1026,2019,Japanese Grand Prix,17,Sergio Pérez,Racing Point,racing_point,false,17,8,9
933,2015,Austrian Grand Prix,8,Sergio Pérez,Force India,force_india,false,13,9,4
934,2015,British Grand Prix,9,Sergio Pérez,Force India,force_india,false,11,9,2
978,2017,British Grand Prix,10,Sergio Pérez,Force India,force_india,false,6,9,-3
981,2017,Italian Grand Prix,13,Sergio Pérez,Force India,force_india,false,10,9,1
987,2017,Brazilian Grand Prix,19,Sergio Pérez,Force India,force_india,false,5,9,-4
993,2018,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,false,15,9,6
1029,2019,Brazilian Grand Prix,20,Sergio Pérez,Racing Point,racing_point,false,15,9,6
977,2017,Austrian Grand Prix,9,Lance Stroll,Williams,williams,true,18,10,8
1022,2019,Belgian Grand Prix,13,Lance Stroll,Racing Point,racing_point,false,16,10,6
980,2017,Belgian Grand Prix,12,Lance Stroll,Williams,williams,true,15,11,4
993,2018,Spanish Grand Prix,5,Lance Stroll,Williams,williams,true,18,11,7
998,2018,British Grand Prix,10,Lance Stroll,Williams,williams,true,19,12,7
1023,2019,Italian Grand Prix,14,Lance Stroll,Racing Point,racing_point,false,9,12,-3
1001,2018,Belgian Grand Prix,13,Lance Stroll,Williams,williams,true,17,13,4
1019,2019,British Grand Prix,10,Lance Stroll,Racing Point,racing_point,false,18,13,5
1024,2019,Singapore Grand Prix,15,Lance Stroll,Racing Point,racing_point,false,16,13,3
979,2017,Hungarian Grand Prix,11,Lance Stroll,Williams,williams,true,17,14,3
997,2018,Austrian Grand Prix,9,Lance Stroll,Williams,williams,true,14,14,0
1003,2018,Singapore Grand Prix,15,Lance Stroll,Williams,williams,true,20,14,6
1018,2019,Austrian Grand Prix,9,Lance Stroll,Racing Point,racing_point,false,14,14,0
974,2017,Monaco Grand Prix,6,Lance Stroll,Williams,williams,true,17,15,2
973,2017,Spanish Grand Prix,5,Lance Stroll,Williams,williams,true,18,16,2
978,2017,British Grand Prix,10,Lance Stroll,Williams,williams,true,15,16,-1
987,2017,Brazilian Grand Prix,19,Lance Stroll,Williams,williams,true,16,16,0
1015,2019,Monaco Grand Prix,6,Lance Stroll,Racing Point,racing_point,false,17,16,1
994,2018,Monaco Grand Prix,6,Lance Stroll,Williams,williams,true,17,17,0
1000,2018,Hungarian Grand Prix,12,Lance Stroll,Williams,williams,true,15,17,-2
1005,2018,Japanese Grand Prix,17,Lance Stroll,Williams,williams,true,14,17,-3
1021,2019,Hungarian Grand Prix,12,Lance Stroll,Racing Point,racing_point,false,18,17,1
1008,2018,Brazilian Grand Prix,20,Lance Stroll,Williams,williams,true,19,18,1
1029,2019,Brazilian Grand Prix,20,Lance Stroll,Racing Point,racing_point,false,17,19,-2
981,2017,Italian Grand Prix,13,Lance Stroll,Williams,williams,true,2,7,-5
982,2017,Singapore Grand Prix,14,Lance Stroll,Williams,williams,true,18,8,10
1002,2018,Italian Grand Prix,14,Lance Stroll,Williams,williams,true,10,9,1
1026,2019,Japanese Grand Prix,17,Lance Stroll,Racing Point,racing_point,false,12,9,3
953,2016,Monaco Grand Prix,6,Felipe Massa,Williams,williams,true,14,10,4
960,2016,Belgian Grand Prix,13,Felipe Massa,Williams,williams,true,10,10,0
978,2017,British Grand Prix,10,Felipe Massa,Williams,williams,true,14,10,4
984,2017,Japanese Grand Prix,16,Felipe Massa,Williams,williams,true,8,10,-2
957,2016,British Grand Prix,10,Felipe Massa,Williams,williams,true,12,11,1
982,2017,Singapore Grand Prix,14,Felipe Massa,Williams,williams,true,17,11,6
936,2015,Hungarian Grand Prix,10,Felipe Massa,Williams,williams,true,8,12,-4
962,2016,Singapore Grand Prix,15,Felipe Massa,Williams,williams,true,11,12,-1
973,2017,Spanish Grand Prix,5,Felipe Massa,Williams,williams,true,9,13,-4
931,2015,Monaco Grand Prix,6,Felipe Massa,Williams,williams,true,12,15,-3
940,2015,Japanese Grand Prix,14,Felipe Massa,Williams,williams,true,5,17,-12
958,2016,Hungarian Grand Prix,11,Felipe Massa,Williams,williams,true,18,18,0
933,2015,Austrian Grand Prix,8,Felipe Massa,Williams,williams,true,4,3,1
938,2015,Italian Grand Prix,12,Felipe Massa,Williams,williams,true,5,3,2
934,2015,British Grand Prix,9,Felipe Massa,Williams,williams,true,3,4,-1
930,2015,Spanish Grand Prix,5,Felipe Massa,Williams,williams,true,9,6,3
937,2015,Belgian Grand Prix,11,Felipe Massa,Williams,williams,true,6,6,0
987,2017,Brazilian Grand Prix,19,Felipe Massa,Williams,williams,true,9,7,2
952,2016,Spanish Grand Prix,5,Felipe Massa,Williams,williams,true,18,8,10
980,2017,Belgian Grand Prix,12,Felipe Massa,Williams,williams,true,16,8,8
981,2017,Italian Grand Prix,13,Felipe Massa,Williams,williams,true,7,8,-1
961,2016,Italian Grand Prix,14,Felipe Massa,Williams,williams,true,11,9,2
964,2016,Japanese Grand Prix,17,Felipe Massa,Williams,williams,true,12,9,3
974,2017,Monaco Grand Prix,6,Felipe Massa,Williams,williams,true,14,9,5
977,2017,Austrian Grand Prix,9,Felipe Massa,Williams,williams,true,17,9,8
962,2016,Singapore Grand Prix,15,Kevin Magnussen,Renault,renault,false,15,10,5
974,2017,Monaco Grand Prix,6,Kevin Magnussen,Haas F1 Team,haas,false,11,10,1
981,2017,Italian Grand Prix,13,Kevin Magnussen,Haas F1 Team,haas,false,9,11,-2
1029,2019,Brazilian Grand Prix,20,Kevin Magnussen,Haas F1 Team,haas,false,9,11,-2
