,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
83,2017,Austrian Grand Prix,9,Lance Stroll,rookie,00:02.384,2384.9577588700045
84,2017,Azerbaijan Grand Prix,8,Felipe Massa,experienced,00:03.095,3095.7074924462545
85,2017,Azerbaijan Grand Prix,8,Lance Stroll,rookie,00:02.403,2403.6982676021094
86,2017,Bahrain Grand Prix,3,Felipe Massa,experienced,00:03.498,3498.111856929666
87,2017,Bahrain Grand Prix,3,Lance Stroll,rookie,00:05.802,5802.605111786719
88,2017,Belgian Grand Prix,12,Felipe Massa,experienced,00:01.687,1687.7816392714644
89,2017,Belgian Grand Prix,12,Lance Stroll,rookie,00:01.527,1527.647794415917
90,2017,Brazilian Grand Prix,19,Felipe Massa,experienced,00:09.101,9101.345084138926
91,2017,Brazilian Grand Prix,19,Lance Stroll,rookie,00:07.161,7161.746183986571
92,2017,British Grand Prix,10,Felipe Massa,experienced,00:03.103,3103.6755486347774
93,2017,British Grand Prix,10,Lance Stroll,rookie,00:04.303,4303.692660839516
94,2017,Canadian Grand Prix,7,Lance Stroll,rookie,00:07.254,7254.069625095628
95,2017,Chinese Grand Prix,2,Felipe Massa,experienced,00:05.690,5690.389322832675
96,2017,Hungarian Grand Prix,11,Lance Stroll,rookie,00:06.013,6013.015828213793
97,2017,Hungarian Grand Prix,11,Paul di Resta,rookie,00:06.575,6575.170320606728
98,2017,Italian Grand Prix,13,Felipe Massa,experienced,00:03.020,3020.6393641677814
99,2017,Italian Grand Prix,13,Lance Stroll,rookie,00:03.197,3197.2474677606056
100,2017,Japanese Grand Prix,16,Felipe Massa,experienced,00:03.851,3851.9876552751616
101,2017,Japanese Grand Prix,16,Lance Stroll,rookie,00:04.562,4562.565201417868
102,2017,Malaysian Grand Prix,15,Felipe Massa,experienced,00:02.956,2956.977403301616
103,2017,Malaysian Grand Prix,15,Lance Stroll,rookie,00:03.086,3086.305605668785
104,2017,Mexican Grand Prix,18,Felipe Massa,experienced,00:04.405,4405.440739907466
105,2017,Mexican Grand Prix,18,Lance Stroll,rookie,00:04.658,4658.636828582061
106,2017,Monaco Grand Prix,6,Felipe Massa,experienced,00:06.692,6692.048735338445
107,2017,Monaco Grand Prix,6,Lance Stroll,rookie,00:08.282,8282.66411472931
108,2017,Russian Grand Prix,4,Felipe Massa,experienced,00:03.056,3056.3152559202344
109,2017,Russian Grand Prix,4,Lance Stroll,rookie,00:01.371,1371.3852824678634
110,2017,Singapore Grand Prix,14,Felipe Massa,experienced,00:03.494,3494.1586515983595
111,2017,Singapore Grand Prix,14,Lance Stroll,rookie,00:02.814,2814.0647614227855
112,2017,Spanish Grand Prix,5,Felipe Massa,experienced,00:05.513,5513.798810755534
113,2017,Spanish Grand Prix,5,Lance Stroll,rookie,00:04.419,4419.756433838837
114,2017,United States Grand Prix,17,Felipe Massa,experienced,00:01.399,1399.3797044771497
115,2017,United States Grand Prix,17,Lance Stroll,rookie,00:01.915,1915.4273437770553
116,2018,Abu Dhabi Grand Prix,21,Lance Stroll,rookie,00:01.311,1311.8453230893467
117,2018,Abu Dhabi Grand Prix,21,Sergey Sirotkin,rookie,00:01.594,1594.0407765251214
118,2018,Australian Grand Prix,1,Lance Stroll,rookie,00:04.666,4666.1038361178735
